

--- ob_w_company_id_table_lms ---
                        name  nullable              type                                                                                           comment
70                          roce      True  DOUBLE PRECISION                                                         ROCE USING NET INCOME (%)
71                           roa      True  DOUBLE PRECISION                                                          ROA USING NET INCOME (%)
72                          prma      True  DOUBLE PRECISION                                                                 PROFIT MARGIN (%)
73                          grma      True  DOUBLE PRECISION                                                                  GROSS MARGIN (%)
74                          etma      True  DOUBLE PRECISION                                                                 EBITDA MARGIN (%)
75                          ebma      True  DOUBLE PRECISION                                                                   EBIT MARGIN (%)
76                          cfop      True  DOUBLE PRECISION                                                 CASH FLOW / OPERATING REVENUE (%)
77                          evet      True  DOUBLE PRECISION                                                     ENTERPRISE VALUE / EBITDA (X)
78                          mkcf      True  DOUBLE PRECISION                                        MARKET CAP / CASH FLOW FROM OPERATIONS (X)
79                           nat      True  DOUBLE PRECISION                                                           NET ASSETS TURNOVER (X)
80                            ic      True  DOUBLE PRECISION                                                                INTEREST COVER (X)
81                          stot      True  DOUBLE PRECISION                                                                STOCK TURNOVER (X)
82                          coll      True  DOUBLE PRECISION                                                          COLLECTION PERIOD (DAYS)
83                          crpe      True  DOUBLE PRECISION                                                              CREDIT PERIOD (DAYS)
84                          exop      True  DOUBLE PRECISION                                            EXPORT REVENUE / OPERATING REVENUE (%)
85                          rdop      True  DOUBLE PRECISION                                              R&D EXPENSES / OPERATING REVENUE (%)
86                          curr      True  DOUBLE PRECISION                                                                 CURRENT RATIO (X)
87                          liqr      True  DOUBLE PRECISION                                                               LIQUIDITY RATIO (X)
88                          shlq      True  DOUBLE PRECISION                                                  SHAREHOLDERS LIQUIDITY RATIO (X)
89                          solr      True  DOUBLE PRECISION                                                  SOLVENCY RATIO (ASSET BASED) (%)
90                          soll      True  DOUBLE PRECISION                                              SOLVENCY RATIO (LIABILITY BASED) (%)
91                          gear      True  DOUBLE PRECISION                                                                       GEARING (%)
92                           ppe      True  DOUBLE PRECISION                                                          PROFIT PER EMPLOYEE (TH)
93                           tpe      True  DOUBLE PRECISION                                               OPERATING REVENUE PER EMPLOYEE (TH)
94                           sct      True  DOUBLE PRECISION                                        COSTS OF EMPLOYEES / OPERATING REVENUE (%)
95                           ace      True  DOUBLE PRECISION                                                     AVERAGE COST OF EMPLOYEE (TH)
96                          sfpe      True  DOUBLE PRECISION                                              SHAREHOLDERS FUNDS PER EMPLOYEE (TH)
97                          wcpe      True  DOUBLE PRECISION                                                 WORKING CAPITAL PER EMPLOYEE (TH)
98                          tape      True  DOUBLE PRECISION                                                    TOTAL ASSETS PER EMPLOYEE (TH)
99                      df_oprev      True           VARCHAR                                                       ESTIMATED OPERATING REVENUE
100                 df_employees      True           VARCHAR                                                               ESTIMATED EMPLOYEES
101  op_rev_original_range_value      True           VARCHAR                                            OPERATING REVENUE ORIGINAL RANGE VALUE
102         emp_orig_range_value      True           VARCHAR                                                    EMPLOYEES ORIGINAL RANGE VALUE
103           cashflow_nr_months      True           VARCHAR                                             NUMBER OF MONTHS - from cashflow data
104           cashflow_audstatus      True           VARCHAR                                                 AUDIT STATUS - from cashflow data
105         cashflow_accpractice      True           VARCHAR                                          ACCOUNTING PRACTICE - from cashflow data
106          cashflow_orig_units      True           VARCHAR                                               ORIGINAL UNITS - from cashflow data
107       cashflow_orig_currency      True           VARCHAR                                            ORIGINAL CURRENCY - from cashflow data
108            cashflow_exchrate      True  DOUBLE PRECISION                        EXCHANGE RATE FROM ORIGINAL CURRENCY  - from cashflow data
109                         onet      True  DOUBLE PRECISION                                                                        NET INCOME
110                         sdep      True  DOUBLE PRECISION                                                                      DEPRECIATION
111                         odpl      True  DOUBLE PRECISION                                                                         DEPLETION
112                         sded      True  DOUBLE PRECISION                                                            DEPRECIATION/DEPLETION
113                         oami      True  DOUBLE PRECISION                                                       AMORTIZATION OF INTANGIBLES
114                         oama      True  DOUBLE PRECISION                                                 AMORTIZATION OF ACQUISITION COSTS
115                         samt      True  DOUBLE PRECISION                                                                      AMORTIZATION
116                         obdt      True  DOUBLE PRECISION                                                                    DEFERRED TAXES
117                         oacg      True  DOUBLE PRECISION                                                                 ACCOUNTING CHANGE
118                         oido      True  DOUBLE PRECISION                                                           DISCONTINUED OPERATIONS
119                         otra      True  DOUBLE PRECISION                                                                EXTRAORDINARY ITEM
120                         ouie      True  DOUBLE PRECISION                                                                     UNUSUAL ITEMS
121                         oprd      True  DOUBLE PRECISION                                                                     PURCHASED R&D
122                         oeia      True  DOUBLE PRECISION                                                       EQUITY IN NET EARNINGS/LOSS
123                         onci      True  DOUBLE PRECISION                                                              OTHER NON-CASH ITEMS
124                         snci      True  DOUBLE PRECISION                                                                    NON-CASH ITEMS
125                         ocrc      True  DOUBLE PRECISION                                                                     CASH RECEIPTS
126                         ocpd      True  DOUBLE PRECISION                                                                     CASH PAYMENTS
127                         oacr      True  DOUBLE PRECISION                                                               ACCOUNTS RECEIVABLE
128                         oitl      True  DOUBLE PRECISION                                                                       INVENTORIES
129                         oppy      True  DOUBLE PRECISION                                                                  PREPAID EXPENSES
130                         ooas      True  DOUBLE PRECISION                                                                      OTHER ASSETS
131                         oapb      True  DOUBLE PRECISION                                                                  ACCOUNTS PAYABLE
132                         oaex      True  DOUBLE PRECISION                                                                  ACCRUED EXPENSES
133                         opba      True  DOUBLE PRECISION                                                                   PAYABLE/ACCRUED
134                         otxp      True  DOUBLE PRECISION                                                                     TAXES PAYABLE
135                         oolb      True  DOUBLE PRECISION                                                                 OTHER LIABILITIES
136                         ooal      True  DOUBLE PRECISION                                                   OTHER ASSETS & LIABILITIES, NET
137                         oocf      True  DOUBLE PRECISION                                                         OTHER OPERATING CASH FLOW
138                         socf      True  DOUBLE PRECISION                                                        CHANGES IN WORKING CAPITAL
139                         otlo      True  DOUBLE PRECISION                                              TOTAL CASH FROM OPERATING ACTIVITIES
140                         icex      True  DOUBLE PRECISION                                                          PURCHASE OF FIXED ASSETS
141                         iiaq      True  DOUBLE PRECISION                                               PURCHASE/ACQUISITION OF INTANGIBLES
142                         isdc      True  DOUBLE PRECISION                                                        SOFTWARE DEVELOPMENT COSTS
143                         scex      True  DOUBLE PRECISION                                                              CAPITAL EXPENDITURES
144                         ibaq      True  DOUBLE PRECISION                                                           ACQUISITION OF BUSINESS
145                         isob      True  DOUBLE PRECISION                                                                  SALE OF BUSINESS
146                         isfa      True  DOUBLE PRECISION                                                              SALE OF FIXED ASSETS
147                         iins      True  DOUBLE PRECISION                                                       SALE/MATURITY OF INVESTMENT
148                         iivn      True  DOUBLE PRECISION                                                                   INVESTMENT, NET
149                         iinp      True  DOUBLE PRECISION                                                           PURCHASE OF INVESTMENTS
